PortfolioID,ClienteID,ValorID,FechaEjecucion,Volumen,Sentido,PrecioReferencia,CanonBolsa,ComisionInter
AE_1039_681,AE_1039,ES0113900J37,2022-11-07,106,C,2.67,1.29,2.75
AE_1039_681,AE_1039,ES0113900J37,2022-12-07,38,V,2.81,0.46,1.05
AE_1039_681,AE_1039,ES0113900J37,2024-01-03,323,V,3.85,3.94,8.18
AE_1039_681,AE_1039,ES0113900J37,2024-10-07,92,C,4.48,1.12,2.4
AE_2208_717,AE_2208,ES0113900J37,2021-01-07,151,C,2.75,1.84,3.88
AE_2208_717,AE_2208,ES0113900J37,2021-06-07,128,V,3.44,1.56,3.3
AE_2208_717,AE_2208,ES0113900J37,2021-09-07,51,V,3.11,0.62,1.38
AE_2208_717,AE_2208,ES0113900J37,2022-01-03,414,C,2.94,5.05,10.45
AE_2208_717,AE_2208,ES0113900J37,2022-01-07,124,C,3.09,1.51,3.2
AE_2208_717,AE_2208,ES0113900J37,2022-03-07,110,V,2.72,1.34,2.85
AE_2208_717,AE_2208,ES0113900J37,2022-06-07,104,V,3.04,1.27,2.7
AE_2208_717,AE_2208,ES0113900J37,2022-11-07,198,V,2.67,2.42,5.05
AE_2208_717,AE_2208,ES0113900J37,2023-02-07,89,V,3.45,1.09,2.33
AE_2208_717,AE_2208,ES0113900J37,2023-06-07,101,C,3.21,1.23,2.63
AE_2208_717,AE_2208,ES0113900J37,2023-08-07,54,V,3.61,0.66,1.45
AE_2208_717,AE_2208,ES0113900J37,2024-04-15,313,C,4.45,3.82,7.93
AE_2208_717,AE_2208,ES0113900J37,2024-05-07,123,V,4.57,1.50,3.18
AE_2208_717,AE_2208,ES0113900J37,2024-11-07,154,C,4.41,1.88,3.95
AE_7042_886,AE_7042,ES0113900J37,2021-04-15,407,V,2.91,4.97,10.28
AE_7042_886,AE_7042,ES0113900J37,2021-07-15,464,V,3.10,5.66,11.7
AE_7042_886,AE_7042,ES0113900J37,2022-10-07,42,V,2.55,0.51,1.15
AE_7042_886,AE_7042,ES0113900J37,2023-03-07,81,V,3.86,0.99,2.13
AE_7042_886,AE_7042,ES0113900J37,2023-08-07,38,V,3.61,0.46,1.05
AE_7042_886,AE_7042,ES0113900J37,2024-06-07,62,C,4.74,0.76,1.65
AE_7042_886,AE_7042,ES0113900J37,2024-08-07,90,V,3.96,1.10,2.35
AE_7042_886,AE_7042,ES0113900J37,2024-11-07,48,C,4.41,0.59,1.3
AE_1082_180,AE_1082,ES0113900J37,2021-09-07,141,V,3.11,1.72,3.63
AE_1082_180,AE_1082,ES0113900J37,2021-10-07,133,C,3.24,1.62,3.43
AE_1082_180,AE_1082,ES0113900J37,2022-01-03,750,C,2.94,9.15,18.85
AE_1082_180,AE_1082,ES0113900J37,2022-03-07,93,C,2.72,1.13,2.43
AE_1082_180,AE_1082,ES0113900J37,2022-06-07,287,C,3.04,3.50,7.28
AE_1082_180,AE_1082,ES0113900J37,2022-10-07,278,V,2.55,3.39,7.05
AE_1082_180,AE_1082,ES0113900J37,2023-02-07,288,V,3.45,3.51,7.3
AE_1082_180,AE_1082,ES0113900J37,2023-12-07,87,C,3.96,1.06,2.28
AE_1082_180,AE_1082,ES0113900J37,2024-02-07,120,C,3.75,1.46,3.1
AE_1082_180,AE_1082,ES0113900J37,2024-03-07,249,C,3.91,3.04,6.33
AE_1082_180,AE_1082,ES0113900J37,2024-05-07,269,V,4.57,3.28,6.83
AE_1082_180,AE_1082,ES0113900J37,2024-07-15,774,V,4.51,9.44,19.45
AE_1082_180,AE_1082,ES0113900J37,2024-08-07,139,C,3.96,1.70,3.58
AE_1082_180,AE_1082,ES0113900J37,2024-10-07,98,C,4.48,1.20,2.55
AE_1082_180,AE_1082,ES0113900J37,2024-11-07,230,V,4.41,2.81,5.85
AE_6842_345,AE_6842,ES0113900J37,2022-03-07,70,C,2.72,0.85,1.85
AE_6842_345,AE_6842,ES0113900J37,2022-09-07,148,V,2.41,1.81,3.8
AE_6842_345,AE_6842,ES0113900J37,2023-01-03,533,V,2.85,6.50,13.43
AE_6842_345,AE_6842,ES0113900J37,2024-01-15,192,V,3.80,2.34,4.9
AE_6842_345,AE_6842,ES0113900J37,2024-03-07,30,C,3.91,0.37,0.85
AE_6842_345,AE_6842,ES0113900J37,2024-05-07,45,C,4.57,0.55,1.23
AE_6842_345,AE_6842,ES0113900J37,2024-06-07,55,V,4.74,0.67,1.48
AE_6842_345,AE_6842,ES0113900J37,2024-10-15,94,C,4.61,1.15,2.45
AE_1517_549,AE_1517,ES0113900J37,2021-06-07,213,C,3.44,2.60,5.43
AE_1517_549,AE_1517,ES0113900J37,2021-07-07,155,V,3.16,1.89,3.98
AE_1517_549,AE_1517,ES0113900J37,2022-01-03,654,C,2.94,7.98,16.45
AE_1517_549,AE_1517,ES0113900J37,2022-10-07,154,C,2.55,1.88,3.95
AE_1517_549,AE_1517,ES0113900J37,2023-06-07,162,C,3.21,1.98,4.15
AE_1517_549,AE_1517,ES0113900J37,2023-07-07,136,C,3.24,1.66,3.5
AE_1517_549,AE_1517,ES0113900J37,2023-11-07,282,C,3.54,3.44,7.15
AE_1517_549,AE_1517,ES0113900J37,2023-12-07,343,V,3.96,4.18,8.68
AE_1517_549,AE_1517,ES0113900J37,2024-04-15,728,V,4.45,8.88,18.3
AE_1517_549,AE_1517,ES0113900J37,2024-07-15,658,V,4.51,8.03,16.55
AE_1517_549,AE_1517,ES0113900J37,2024-11-07,125,C,4.41,1.53,3.23
AE_4894_126,AE_4894,ES0113900J37,2021-01-07,57,C,2.75,0.70,1.53
AE_4894_126,AE_4894,ES0113900J37,2021-04-07,58,C,2.92,0.71,1.55
